species,parent_class,split,source_group,count,percentage_of_parent_class
Checkered Keelback,Non-Venomous,validation,NEW_SOURCE_GROUP_0013,1,1.2195121951219512
Checkered Keelback,Non-Venomous,validation,NEW_SOURCE_GROUP_0022,1,1.2195121951219512
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0082,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0084,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0085,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0086,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0087,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0088,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0089,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0090,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0091,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0093,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0094,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0096,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0097,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0099,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0100,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0101,1,1.8867924528301887
Common Krait,Venomous,train,NEW_SOURCE_GROUP_0102,1,1.8867924528301887
Common Krait,Venomous,validation,NEW_SOURCE_GROUP_0083,1,1.8867924528301887
Common Krait,Venomous,validation,NEW_SOURCE_GROUP_0092,1,1.8867924528301887
Common Krait,Venomous,validation,NEW_SOURCE_GROUP_0095,1,1.8867924528301887
Common Krait,Venomous,validation,NEW_SOURCE_GROUP_0098,1,1.8867924528301887
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0023,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0024,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0025,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0026,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0027,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0028,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0030,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0031,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0032,1,1.2195121951219512
Common Rat Snake,Non-Venomous,train,NEW_SOURCE_GROUP_0033,1,1.2195121951219512
Common Rat Snake,Non-Venomous,validation,NEW_SOURCE_GROUP_0029,1,1.2195121951219512
Common Rat Snake,Non-Venomous,validation,NEW_SOURCE_GROUP_0034,1,1.2195121951219512
Common Rat Snake,Non-Venomous,validation,NEW_SOURCE_GROUP_0035,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0036,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0038,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0039,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0040,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0041,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0042,1,1.2195121951219512
Common Sand Boa,Non-Venomous,train,NEW_SOURCE_GROUP_0044,1,1.2195121951219512
Common Sand Boa,Non-Venomous,validation,NEW_SOURCE_GROUP_0037,1,1.2195121951219512
Common Sand Boa,Non-Venomous,validation,NEW_SOURCE_GROUP_0043,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0045,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0047,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0048,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0049,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0050,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0051,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0054,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0055,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0056,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0057,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0058,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0059,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0060,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0062,1,1.2195121951219512
Common Trinket,Non-Venomous,train,NEW_SOURCE_GROUP_0063,1,1.2195121951219512
Common Trinket,Non-Venomous,validation,NEW_SOURCE_GROUP_0046,1,1.2195121951219512
Common Trinket,Non-Venomous,validation,NEW_SOURCE_GROUP_0052,1,1.2195121951219512
Common Trinket,Non-Venomous,validation,NEW_SOURCE_GROUP_0053,1,1.2195121951219512
Common Trinket,Non-Venomous,validation,NEW_SOURCE_GROUP_0061,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0065,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0066,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0067,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0068,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0069,1,1.2195121951219512
Green Tree Vine,Non-Venomous,train,NEW_SOURCE_GROUP_0070,1,1.2195121951219512
Green Tree Vine,Non-Venomous,validation,NEW_SOURCE_GROUP_0064,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0071,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0072,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0073,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0074,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0076,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0077,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0078,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0080,1,1.2195121951219512
Indian Rock Python,Non-Venomous,train,NEW_SOURCE_GROUP_0081,1,1.2195121951219512
Indian Rock Python,Non-Venomous,validation,NEW_SOURCE_GROUP_0075,1,1.2195121951219512
Indian Rock Python,Non-Venomous,validation,NEW_SOURCE_GROUP_0079,1,1.2195121951219512
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0103,1,1.8867924528301887
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0104,1,1.8867924528301887
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0105,1,1.8867924528301887
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0106,1,1.8867924528301887
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0108,1,1.8867924528301887
King Cobra,Venomous,train,NEW_SOURCE_GROUP_0109,1,1.8867924528301887
King Cobra,Venomous,validation,NEW_SOURCE_GROUP_0107,1,1.8867924528301887
Monocled Cobra,Venomous,train,NEW_SOURCE_GROUP_0110,1,1.8867924528301887
Russell's Viper,Venomous,train,NEW_SOURCE_GROUP_0111,1,1.8867924528301887
Russell's Viper,Venomous,train,NEW_SOURCE_GROUP_0113,1,1.8867924528301887
Russell's Viper,Venomous,train,NEW_SOURCE_GROUP_0114,1,1.8867924528301887
Russell's Viper,Venomous,validation,NEW_SOURCE_GROUP_0112,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0115,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0116,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0117,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0118,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0119,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0122,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0123,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0124,1,1.8867924528301887
Saw-scaled Viper,Venomous,train,NEW_SOURCE_GROUP_0125,1,1.8867924528301887
Saw-scaled Viper,Venomous,validation,NEW_SOURCE_GROUP_0120,1,1.8867924528301887
Saw-scaled Viper,Venomous,validation,NEW_SOURCE_GROUP_0121,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0126,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0128,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0130,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0131,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0132,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0133,1,1.8867924528301887
Spectacled Cobra,Venomous,train,NEW_SOURCE_GROUP_0134,1,1.8867924528301887
Spectacled Cobra,Venomous,validation,NEW_SOURCE_GROUP_0127,1,1.8867924528301887
Spectacled Cobra,Venomous,validation,NEW_SOURCE_GROUP_0129,1,1.8867924528301887
