review_id,new_image,suspected_match,review_type,frozen_test_involved,sha256_match,phash_distance,dhash_distance,ahash_distance,ssim_score,pixel_similarity_score,dimension_similarity,edge_similarity,color_histogram_correlation,orb_ratio_matches,orb_ransac_inliers,orb_inlier_ratio,other_evidence,final_auto_decision,decision_confidence,decision_reason
REVIEW_0013,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\_DSC0413.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\_DSC0413.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996486,0.999163,0.284293,0.976509,0.999077,9,8,0.888889,aspect_similarity=0.604122; area_similarity=0.133785; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0014,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\_DSC0418.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\_DSC0418.jpg,DUPLICATE_REVIEW,NO,False,2,0,0,0.992958,0.999129,0.307692,0.948304,0.998918,23,19,0.826087,aspect_similarity=0.653846; area_similarity=0.144796; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; strong crop/watermark-compatible feature and color/structure evidence; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0015,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered keelback_002.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\checkered keelback_002.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996434,0.999638,0.25,0.993695,0.999683,21,12,0.571429,aspect_similarity=0.664375; area_similarity=0.094073; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0016,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelback_001.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered-Keelback_001.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.994911,0.999827,0.5,0.972158,0.999233,8,5,0.625,aspect_similarity=0.330000; area_similarity=0.757576; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0017,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered-keelback_002.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\checkered-keelback_002.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997055,0.999138,0.66778,0.9771,0.999788,8,4,0.5,aspect_similarity=0.594324; area_similarity=0.750314; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0018,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelback_003.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered-Keelback_003.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.998327,0.999741,0.133333,0.989004,0.999569,6,4,0.666667,aspect_similarity=0.665000; area_similarity=0.026734; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0019,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-2.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered-Keelbacks-2.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.99669,0.999579,0.390625,0.983488,0.998238,2,0,0.0,aspect_similarity=0.445312; area_similarity=0.342654; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0020,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-4.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered-Keelbacks-4.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996703,0.999639,0.390625,0.993089,0.99835,6,4,0.666667,aspect_similarity=0.471680; area_similarity=0.323499; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0021,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-6.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered-Keelbacks-6.jpg,DUPLICATE_REVIEW,NO,False,0,2,0,0.996961,0.999597,0.390625,0.992648,0.994724,10,8,0.8,aspect_similarity=0.499023; area_similarity=0.305773; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0022,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered_keelback_water_snake.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\checkered_keelback_water_snake.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.998221,0.999815,0.632911,0.994521,0.999582,20,11,0.55,aspect_similarity=0.518987; area_similarity=0.771843; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0023,"C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG","C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG",DUPLICATE_REVIEW,NO,False,0,0,1,0.993576,0.996512,0.3325,0.988948,0.999816,16,11,0.6875,aspect_similarity=0.604545; area_similarity=0.182875; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0024,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\DSC4977.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\DSC4977.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.997436,0.998888,0.390625,0.986343,0.998441,8,6,0.75,aspect_similarity=0.568359; area_similarity=0.268471; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0025,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\DSC_3798-1.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\DSC_3798-1.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.996923,0.999428,0.25,0.984387,0.999809,17,15,0.882353,aspect_similarity=0.663750; area_similarity=0.094162; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0026,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\IMG_4798.JPG,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\IMG_4798.JPG,DUPLICATE_REVIEW,NO,False,0,1,0,0.997503,0.999766,0.56,0.987376,0.999619,3,0,0.0,aspect_similarity=0.320000; area_similarity=0.980000; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0027,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\img_5554.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\img_5554.jpg,DUPLICATE_REVIEW,NO,False,0,1,1,0.995997,0.999784,0.136286,0.987967,0.998761,5,5,1.0,aspect_similarity=0.683135; area_similarity=0.027189; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0028,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\img_6516.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\img_6516.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996175,0.999849,0.1,0.983463,0.999311,0,0,0.0,aspect_similarity=0.750000; area_similarity=0.013333; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0029,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\keelback1.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\keelback1.jpg,DUPLICATE_REVIEW,NO,False,0,1,0,0.996994,0.999383,0.606061,0.957021,0.999842,44,25,0.568182,aspect_similarity=0.631818; area_similarity=0.581353; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; strong crop/watermark-compatible feature and color/structure evidence; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0030,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_003.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\maxresdefault_003.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.999131,0.999807,0.3125,0.99829,0.998486,2,0,0.0,aspect_similarity=0.562500; area_similarity=0.173611; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0031,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_004.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\validation\Non_Venomous_Snake\maxresdefault_004.jpg,DUPLICATE_REVIEW,NO,False,2,0,0,0.996231,0.999373,0.3125,0.987576,0.99994,3,0,0.0,aspect_similarity=0.562500; area_similarity=0.173611; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0033,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_009.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\maxresdefault_009.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996616,0.999648,0.3125,0.969804,0.999836,13,11,0.846154,aspect_similarity=0.562500; area_similarity=0.173611; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0034,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_011.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\maxresdefault_011.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997041,0.999587,0.3125,0.967093,0.999425,16,12,0.75,aspect_similarity=0.562500; area_similarity=0.173611; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0039,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\1463253_178992368962946_371907696_n.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\1463253_178992368962946_371907696_n.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.996711,0.998034,0.416667,0.993181,0.998833,15,15,1.0,aspect_similarity=0.639583; area_similarity=0.271444; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0041,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\200907260821-radnor-lake-gray-rat-snake-500.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\200907260821-radnor-lake-gray-rat-snake-500.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.997241,0.999384,0.434783,0.994291,0.999031,19,16,0.842105,aspect_similarity=0.543478; area_similarity=0.347826; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0042,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\220px-Rat_Snake.JPG,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\validation\Non_Venomous_Snake\220px-Rat_Snake.JPG,DUPLICATE_REVIEW,NO,False,2,0,1,0.996947,0.998862,0.3675,0.959678,0.999966,13,11,0.846154,aspect_similarity=0.668182; area_similarity=0.202125; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0043,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\2973845429_d9d5ce06a3_b.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\2973845429_d9d5ce06a3_b.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.998755,0.999797,0.390625,0.992017,0.997744,17,16,0.941176,aspect_similarity=0.573242; area_similarity=0.266184; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0044,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\33326151560_f9888f9e35_b.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\33326151560_f9888f9e35_b.jpg,DUPLICATE_REVIEW,NO,False,0,0,0,0.998422,0.999358,0.390625,0.996137,0.996849,4,4,1.0,aspect_similarity=0.523438; area_similarity=0.291511; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0046,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\blackratsnake2.jpg,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\train\Non_Venomous_Snake\blackratsnake2.jpg,DUPLICATE_REVIEW,NO,False,0,0,1,0.996404,0.99873,0.480769,0.993512,0.999055,0,0,0.0,aspect_similarity=0.240385; area_similarity=0.961538; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; same underlying photograph/derivative indicated by multiple independent signals
REVIEW_0047,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\DSC00806.JPG,C:\Users\yesam\Desktop\anviksa_ai\clean_dataset\validation\Non_Venomous_Snake\DSC00806.JPG,DUPLICATE_REVIEW,NO,False,0,0,0,0.996112,0.99859,0.7125,0.974075,0.999807,15,11,0.733333,aspect_similarity=0.570000; area_similarity=0.890625; normalized 128x128 comparison; tolerant Canny-edge F1; ORB+RANSAC geometry,AUTO_DUPLICATE,HIGH,very high normalized SSIM/pixel agreement plus hash and edge/feature support; strong geometrically consistent local-feature agreement plus supporting signals; same underlying photograph/derivative indicated by multiple independent signals
