relative_path,filename,parent_label,species_label,sha256,width,height,exact_duplicate_group,near_duplicate_group,source_group,exact_existing_match,strict_existing_classification,frozen_test_leakage_status,species_label_conflict,provenance_status,license_status,technical_filter_survivor,resolution_status,reason
Non-Venomous/Checkered Keelback/20390939692_0c4df08d01_k.jpg,20390939692_0c4df08d01_k.jpg,Non-Venomous,Checkered Keelback,d905fd226926f4b1c7ee4502b052f4c27a385d6674610231bef1041a302bdce9,2048,1365,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/233_s.jpg,233_s.jpg,Non-Venomous,Checkered Keelback,090723c19f1eea3bcddbced85c18606995fd0429e654b2eeea1bd53a99f14ff9,1201,800,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/24897900911_7d2ee1ecff_b.jpg,24897900911_7d2ee1ecff_b.jpg,Non-Venomous,Checkered Keelback,e28510a4e4ca4cbf55fe8f2dbecdcd0b0e35145186d417b5f78c26aa05387db4,1024,586,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Checkered Keelback/350_e_s_500.jpg,350_e_s_500.jpg,Non-Venomous,Checkered Keelback,8e64ce5421bf22fdc7f56cbabea6462777b6fe8b038632f773bea8c5b18d10b7,1493,993,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/483d1b4810b93241b433267681151497--snakes-animals.jpg,483d1b4810b93241b433267681151497--snakes-animals.jpg,Non-Venomous,Checkered Keelback,5ad014bdd9267a7f85acf8c068130f503088f59a7e0220ce25c07a92c44b123b,736,551,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/491121-checkered-keeeled-back.jpg,491121-checkered-keeeled-back.jpg,Non-Venomous,Checkered Keelback,cf65e66e23fd69dc86db7a5a02eaf928c7fdad4ea6529fd560d3e71d7a5e7172,3265,2449,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/6.jpg,6.jpg,Non-Venomous,Checkered Keelback,7bb71e95fbd225c9373d2997235ca60d4cbe24ca940f38388441ee0ecd52f563,960,455,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/6069690177_f5cd0dbe69_o.jpg,6069690177_f5cd0dbe69_o.jpg,Non-Venomous,Checkered Keelback,5aba4240384c6959dbfb8980ccf8225a44da5052e113fd38465932d06514cef4,800,533,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/7170810054_1373b1b24f_b.jpg,7170810054_1373b1b24f_b.jpg,Non-Venomous,Checkered Keelback,b7945cfae0931f10626a060f7a79d3cac37c1d36c5a8bc9227df01b77929f523,1024,547,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/7170812976_3a35bbdba2_b.jpg,7170812976_3a35bbdba2_b.jpg,Non-Venomous,Checkered Keelback,c3dd6883ebf9eddcb2ca19acd2cef98d8e0f5c05bf367a13a0498210efa2653d,1024,717,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/9181975166_5a8900bcb4_b.jpg,9181975166_5a8900bcb4_b.jpg,Non-Venomous,Checkered Keelback,0571fdbdc18bad900dbf7b50ebed9b9e542eca167db67eef09737e26dcda0123,1024,576,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/_DSC0413.jpg,_DSC0413.jpg,Non-Venomous,Checkered Keelback,1a75ab6ab435730b14228d5c0f36f661419d2f69e94a1858df17e1963cc9ef33,1407,850,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/_DSC0418.jpg,_DSC0418.jpg,Non-Venomous,Checkered Keelback,36edfd2877c35e6372af36ad4321aa9c65063ea89da402222ad5e768292847d3,1300,850,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Checkered Keelback/checkered keelback_002.jpg,checkered keelback_002.jpg,Non-Venomous,Checkered Keelback,fc13beacccf975fda933206ae627644c869af032581b6df599fde36c415e3214,1600,1063,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/checkered-keel-back-water-snake-xenochropis-piscator-et0cmb.jpg,checkered-keel-back-water-snake-xenochropis-piscator-et0cmb.jpg,Non-Venomous,Checkered Keelback,1b6cd4ba45aba541bcda4199473d0ca99532e25d60d63f18aeba2edbdccaf82c,640,447,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelback-.jpg,Checkered-Keelback-.jpg,Non-Venomous,Checkered Keelback,b24d9dc41cef25b7732591f7b1c2f6e9e1b123647bed023fb261f34c713f5f05,960,640,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelback-1.jpg,Checkered-Keelback-1.jpg,Non-Venomous,Checkered Keelback,43e377ff05e2fd2b607d5f0928a1baa2ce0969c7c60cb75b206ffd2b24f5daa1,640,480,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelback-2.jpg,Checkered-Keelback-2.jpg,Non-Venomous,Checkered Keelback,6decb1cd01c344de9bf1a274b6bf94fcee0f34ab99976b6ae62a3857e4a63106,640,480,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelback_001.jpg,Checkered-Keelback_001.jpg,Non-Venomous,Checkered Keelback,89449733e87191517e533a26715b437b4f39c04c90a2857cc94e3eba572a75fa,800,264,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/checkered-keelback_002.jpg,checkered-keelback_002.jpg,Non-Venomous,Checkered Keelback,8385d7466a0f0a5f9eaf9ec7e26c23a34a4bd667b39d93d98a2c4a1a797288fc,599,356,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelback_003.jpg,Checkered-Keelback_003.jpg,Non-Venomous,Checkered Keelback,f9c97131b3019188770246e7789cdaaf62d8ac2e756e2d587a6cb803e1224e71,3000,1995,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-2.jpg,Checkered-Keelbacks-2.jpg,Non-Venomous,Checkered Keelback,1e67914d22db7db2d924f827304ab97c247196c400f8c4463508be3d1a53e63f,1024,456,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-4.jpg,Checkered-Keelbacks-4.jpg,Non-Venomous,Checkered Keelback,0abea4efbe17d9d0a21da1f36e1410aae6ac31cdf79e2229a48c9c841e876260,1024,483,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/Checkered-Keelbacks-6.jpg,Checkered-Keelbacks-6.jpg,Non-Venomous,Checkered Keelback,41f8fc00bbc4e8006a61b22d63b645ee9c47ea077d4efc7a3043009a39eb122d,1024,511,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/checkered_keelback_water_snake.jpg,checkered_keelback_water_snake.jpg,Non-Venomous,Checkered Keelback,77d037d075fd8cbb5b9bc2d842babdf22aa428e387e8ea8a785baecfc7152d7f,632,328,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
"Non-Venomous/Checkered Keelback/Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG","Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG",Non-Venomous,Checkered Keelback,b562b63bff368ef83e70617ed1e4193d1c123cab1b3a8d87c1a0df56e01f5c42,220,133,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Checkered Keelback/checkeredkeelback.jpg,checkeredkeelback.jpg,Non-Venomous,Checkered Keelback,b10cc8acf0b7a230ef42da662d8dfdef7434007b863ebd597963246621470e80,621,462,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/ckb full3.jpg,ckb full3.jpg,Non-Venomous,Checkered Keelback,ab31acd1d76f7fe33a408f233f92e9842ead625b5f302b3ee5433cac44492410,1024,505,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/DSC4977.jpg,DSC4977.jpg,Non-Venomous,Checkered Keelback,4112c287bc213e8fe725d991c03ca5c77e1adbe6befe7854000c0a53f3f52fa6,1024,582,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/DSC_3798-1.jpg,DSC_3798-1.jpg,Non-Venomous,Checkered Keelback,1ad8f958b094aa0e0813eff74fe1bcae19776624f029741b94bf6d3972e92e04,1600,1062,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Checkered Keelback/entomology-ornithology-herpetology-Xenochorpis-piscator-4-136-g003.png,entomology-ornithology-herpetology-Xenochorpis-piscator-4-136-g003.png,Non-Venomous,Checkered Keelback,050aab68d028951564180538b0cf5044841078ce96179bcb73bb9edbda7eef1e,477,355,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/hqdefault_002.jpg,hqdefault_002.jpg,Non-Venomous,Checkered Keelback,9c6faac6dc2bed67fdc696c80e0bca2d8e06d04139d1963826ca0d4f6b6c91f9,480,360,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/hqdefault_005.jpg,hqdefault_005.jpg,Non-Venomous,Checkered Keelback,50fef1055e0a0592697016bf8bc2b14f563f79e105f5de33ae9a7f4e6f82c0f9,480,360,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/IMG_4798.JPG,IMG_4798.JPG,Non-Venomous,Checkered Keelback,670bbd31b09812b43380f48cfca855755e3b505badaf0e2c5ea143785077eb4f,700,224,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/img_5554.jpg,img_5554.jpg,Non-Venomous,Checkered Keelback,58a61b8421bacf0f2e9c436c187465113c024e0d1061249114406163a64f1121,2935,2005,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/img_6516.jpg,img_6516.jpg,Non-Venomous,Checkered Keelback,98a125ef503070a7aaf3566d09a218062c593fe3438e30c9d796883c99782fcf,4000,3000,,,,False,POSSIBLE_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
Non-Venomous/Checkered Keelback/keelback1.jpg,keelback1.jpg,Non-Venomous,Checkered Keelback,948ee290c117831a37c300d27ed2412e0848d6cfe97f552281aab836c4644ad0,660,417,,,,False,LIKELY_NEAR_DUPLICATE,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LIKELY_NEAR_DUPLICATE,Likely near-duplicate requires human decision
Non-Venomous/Checkered Keelback/maxresdefault.jpg,maxresdefault.jpg,Non-Venomous,Checkered Keelback,2ab826651b52572d606d44f397fa03f3c17ff45f1342463b74e1f2aaa0d01f49,697,1014,,,,False,NO_STRICT_MATCH,NO_TEST_CANDIDATE,False,REPOSITORY_LICENSE_VERIFIED; ORIGINAL_REPOSITORY_VERIFIED,THIRD_PARTY_IMAGE_RIGHTS_UNCLEAR; REVIEW_REQUIRED,True,REVIEW_LICENSE,"Repository MIT license verified, but README says Google-sourced images may be copyrighted"
