new_image,new_species,new_parent_class,existing_image,existing_class,existing_split,phash_distance,dhash_distance,previous_classification,ahash_distance,aspect_ratio_delta,pixel_correlation,ssim,color_histogram_correlation,orb_ratio_matches,orb_ransac_inliers,orb_inlier_ratio,final_classification,evidence,near_duplicate_status
Non-Venomous/Banded Racer/03000025388_01_f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/03000025388_01_f.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333008,0.999275,0.994669,0.998561,42,42,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3330; pixel_corr=0.9993; SSIM=0.9947; hist_corr=0.9986; ORB_good=42; ORB_inliers=42; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/3bbddef038d00a1492014b195f259104--colorful-snakes-nerd.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.161017,0.999012,0.996149,0.999988,158,146,0.924051,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.1610; pixel_corr=0.9990; SSIM=0.9961; hist_corr=1.0000; ORB_good=158; ORB_inliers=146; ORB_inlier_ratio=0.9241,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/5489314689_0dc82a6515_z.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.222222,0.999788,0.997386,0.999949,190,184,0.968421,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2222; pixel_corr=0.9998; SSIM=0.9974; hist_corr=0.9999; ORB_good=190; ORB_inliers=184; ORB_inlier_ratio=0.9684,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/5489314689_0dc82a6515_z.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/56.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.222222,0.997811,0.972775,0.99956,164,159,0.969512,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2222; pixel_corr=0.9978; SSIM=0.9728; hist_corr=0.9996; ORB_good=164; ORB_inliers=159; ORB_inlier_ratio=0.9695,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/5489908162_098edd6fd0_z.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/5489908162_098edd6fd0_z.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.38141,0.999818,0.99765,0.99992,55,42,0.763636,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3814; pixel_corr=0.9998; SSIM=0.9977; hist_corr=0.9999; ORB_good=55; ORB_inliers=42; ORB_inlier_ratio=0.7636,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/5489908744_1c627cc25f.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/5489908744_1c627cc25f.jpg,Non_Venomous_Snake,TRAIN,2,2,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.030303,0.999529,0.997458,0.999697,452,448,0.99115,CONFIRMED_NEAR_DUPLICATE,pHash=2; dHash=2; aHash=0; aspect_delta=0.0303; pixel_corr=0.9995; SSIM=0.9975; hist_corr=0.9997; ORB_good=452; ORB_inliers=448; ORB_inlier_ratio=0.9912,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/12.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.412109,0.997583,0.980952,0.995274,12,7,0.583333,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.4121; pixel_corr=0.9976; SSIM=0.9810; hist_corr=0.9953; ORB_good=12; ORB_inliers=7; ORB_inlier_ratio=0.5833,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/9678299431_e1027b9b6c_b.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.412109,0.999755,0.997221,0.999379,14,8,0.571429,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.4121; pixel_corr=0.9998; SSIM=0.9972; hist_corr=0.9994; ORB_good=14; ORB_inliers=8; ORB_inlier_ratio=0.5714,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_b.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/9678299431_e1027b9b6c_m.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.412109,0.997541,0.987216,0.999133,10,5,0.5,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.4121; pixel_corr=0.9975; SSIM=0.9872; hist_corr=0.9991; ORB_good=10; ORB_inliers=5; ORB_inlier_ratio=0.5000,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/12.jpg,Non_Venomous_Snake,TRAIN,0,2,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.4125,0.995971,0.974349,0.9932,15,10,0.666667,LIKELY_NEAR_DUPLICATE,pHash=0; dHash=2; aHash=0; aspect_delta=0.4125; pixel_corr=0.9960; SSIM=0.9743; hist_corr=0.9932; ORB_good=15; ORB_inliers=10; ORB_inlier_ratio=0.6667,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/9678299431_e1027b9b6c_b.jpg,Non_Venomous_Snake,TRAIN,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.4125,0.997668,0.987524,0.998522,10,6,0.6,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.4125; pixel_corr=0.9977; SSIM=0.9875; hist_corr=0.9985; ORB_good=10; ORB_inliers=6; ORB_inlier_ratio=0.6000,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/9678299431_e1027b9b6c_m.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/9678299431_e1027b9b6c_m.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.4125,0.999608,0.996816,0.999793,15,7,0.466667,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.4125; pixel_corr=0.9996; SSIM=0.9968; hist_corr=0.9998; ORB_good=15; ORB_inliers=7; ORB_inlier_ratio=0.4667,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/26.jpg,Non_Venomous_Snake,TRAIN,4,0,POSSIBLE_NEAR_DUPLICATE,0,0.25,0.995146,0.97462,0.99124,110,104,0.945455,CONFIRMED_NEAR_DUPLICATE,pHash=4; dHash=0; aHash=0; aspect_delta=0.2500; pixel_corr=0.9951; SSIM=0.9746; hist_corr=0.9912; ORB_good=110; ORB_inliers=104; ORB_inlier_ratio=0.9455,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Argyrogena-fasciolata-03000032230_01.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/Argyrogena-fasciolata-03000032230_01.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.25,0.99951,0.997611,0.998698,133,127,0.954887,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2500; pixel_corr=0.9995; SSIM=0.9976; hist_corr=0.9987; ORB_good=133; ORB_inliers=127; ORB_inlier_ratio=0.9549,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded racer blog.JPG,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/97.jpg,Non_Venomous_Snake,TRAIN,2,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,2,0.260742,0.988461,0.973032,0.971682,57,56,0.982456,CONFIRMED_NEAR_DUPLICATE,pHash=2; dHash=0; aHash=2; aspect_delta=0.2607; pixel_corr=0.9885; SSIM=0.9730; hist_corr=0.9717; ORB_good=57; ORB_inliers=56; ORB_inlier_ratio=0.9825,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded racer blog.JPG,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/banded racer blog.JPG,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.260742,0.998146,0.995721,0.995675,55,53,0.963636,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2607; pixel_corr=0.9981; SSIM=0.9957; hist_corr=0.9957; ORB_good=55; ORB_inliers=53; ORB_inlier_ratio=0.9636,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded Racer Juvenile.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/Banded Racer Juvenile.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.288,0.999393,0.997165,0.999823,56,30,0.535714,LIKELY_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2880; pixel_corr=0.9994; SSIM=0.9972; hist_corr=0.9998; ORB_good=56; ORB_inliers=30; ORB_inlier_ratio=0.5357,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded Racer.jpg,Banded Racer,Non-Venomous,train/Non_Venomous_Snake/50.jpg,Non_Venomous_Snake,TRAIN,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.471875,0.996669,0.979268,0.995493,10,6,0.6,POSSIBLE_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.4719; pixel_corr=0.9967; SSIM=0.9793; hist_corr=0.9955; ORB_good=10; ORB_inliers=6; ORB_inlier_ratio=0.6000,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded Racer_001.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded Racer_001.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,1,0.33125,0.998308,0.995507,0.999696,38,37,0.973684,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=1; aspect_delta=0.3312; pixel_corr=0.9983; SSIM=0.9955; hist_corr=0.9997; ORB_good=38; ORB_inliers=37; ORB_inlier_ratio=0.9737,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded Racer_1105.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/Banded Racer_1105.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.25,0.999115,0.997248,0.998684,82,80,0.97561,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2500; pixel_corr=0.9991; SSIM=0.9972; hist_corr=0.9987; ORB_good=82; ORB_inliers=80; ORB_inlier_ratio=0.9756,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded-Racer-1-700x489.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/Banded-Racer-1-700x489.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.301429,0.999901,0.997166,0.999751,92,91,0.98913,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3014; pixel_corr=0.9999; SSIM=0.9972; hist_corr=0.9998; ORB_good=92; ORB_inliers=91; ORB_inlier_ratio=0.9891,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded-Racer-3-700x417.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/Banded-Racer-3-700x417.jpg,Non_Venomous_Snake,TEST,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.404286,0.999858,0.997401,0.999818,67,61,0.910448,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=0; aspect_delta=0.4043; pixel_corr=0.9999; SSIM=0.9974; hist_corr=0.9998; ORB_good=67; ORB_inliers=61; ORB_inlier_ratio=0.9104,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-DCDHTP.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-DCDHTP.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.267692,0.999443,0.996627,0.999174,26,24,0.923077,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2677; pixel_corr=0.9994; SSIM=0.9966; hist_corr=0.9992; ORB_good=26; ORB_inliers=24; ORB_inlier_ratio=0.9231,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-h9et85.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-h9et85.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.304688,0.999594,0.997093,0.999183,106,101,0.95283,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3047; pixel_corr=0.9996; SSIM=0.9971; hist_corr=0.9992; ORB_good=106; ORB_inliers=101; ORB_inlier_ratio=0.9528,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-ncbs-bangalore-india-f7n70b.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-ncbs-bangalore-india-f7n70b.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.301563,0.998563,0.993183,0.999104,90,87,0.966667,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3016; pixel_corr=0.9986; SSIM=0.9932; hist_corr=0.9991; ORB_good=90; ORB_inliers=87; ORB_inlier_ratio=0.9667,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-biting-ac6488.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-non-venomous-not-common-biting-ac6488.jpg,Non_Venomous_Snake,TEST,0,2,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.29375,0.999874,0.996628,0.999879,60,57,0.95,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=2; aHash=0; aspect_delta=0.2938; pixel_corr=0.9999; SSIM=0.9966; hist_corr=0.9999; ORB_good=60; ORB_inliers=57; ORB_inlier_ratio=0.9500,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4N.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4N.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.267692,0.999329,0.996031,0.999398,23,23,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.2677; pixel_corr=0.9993; SSIM=0.9960; hist_corr=0.9994; ORB_good=23; ORB_inliers=23; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4T.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4T.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,1,0.267692,0.99937,0.995849,0.999369,22,22,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=1; aspect_delta=0.2677; pixel_corr=0.9994; SSIM=0.9958; hist_corr=0.9994; ORB_good=22; ORB_inliers=22; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,Non_Venomous_Snake,TEST,2,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.394964,0.99973,0.998229,0.999679,19,16,0.842105,LIKELY_NEAR_DUPLICATE,pHash=2; dHash=0; aHash=0; aspect_delta=0.3950; pixel_corr=0.9997; SSIM=0.9982; hist_corr=0.9997; ORB_good=19; ORB_inliers=16; ORB_inlier_ratio=0.8421,POSSIBLE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded-racerargyrogena-fasciolata-ncbs-bangalore-india-f7n6yr.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded-racerargyrogena-fasciolata-ncbs-bangalore-india-f7n6yr.jpg,Non_Venomous_Snake,TEST,0,1,HIGH_CONFIDENCE_NEAR_DUPLICATE,1,0.301563,0.999013,0.994451,0.999103,94,88,0.93617,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=1; aHash=1; aspect_delta=0.3016; pixel_corr=0.9990; SSIM=0.9945; hist_corr=0.9991; ORB_good=94; ORB_inliers=88; ORB_inlier_ratio=0.9362,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/banded_racer2.JPG,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/banded_racer2.JPG,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.04375,0.999715,0.998836,0.996536,359,344,0.958217,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.0438; pixel_corr=0.9997; SSIM=0.9988; hist_corr=0.9965; ORB_good=359; ORB_inliers=344; ORB_inlier_ratio=0.9582,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/Banded_Racer_Argyrogena_fasciolata_by_Ashahar_alias_Krishna_Khan.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/Banded_Racer_Argyrogena_fasciolata_by_Ashahar_alias_Krishna_Khan.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333333,0.998951,0.994862,0.997286,23,23,1.0,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3333; pixel_corr=0.9990; SSIM=0.9949; hist_corr=0.9973; ORB_good=23; ORB_inliers=23; ORB_inlier_ratio=1.0000,HIGH_CONFIDENCE_NEAR_DUPLICATE
Non-Venomous/Banded Racer/flagellum_19mar11_1b.jpg,Banded Racer,Non-Venomous,test/Non_Venomous_Snake/flagellum_19mar11_1b.jpg,Non_Venomous_Snake,TEST,0,0,HIGH_CONFIDENCE_NEAR_DUPLICATE,0,0.333333,0.999218,0.997847,0.999175,48,47,0.979167,CONFIRMED_NEAR_DUPLICATE,pHash=0; dHash=0; aHash=0; aspect_delta=0.3333; pixel_corr=0.9992; SSIM=0.9978; hist_corr=0.9992; ORB_good=48; ORB_inliers=47; ORB_inlier_ratio=0.9792,HIGH_CONFIDENCE_NEAR_DUPLICATE
