review_id,image_path,species,parent_class,review_type,suspected_match_path,suspected_match_split,frozen_test_involved,similarity_summary,contact_sheet_path,human_decision,human_notes,final_recommended_status
REVIEW_0011,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\6.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/6.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.5260; pixel_corr=0.9997; SSIM=0.9955; hist_corr=0.9999; ORB_good=7; ORB_inliers=5; ORB_inlier_ratio=0.7143,contact_sheets/duplicate_review/review_0011_duplicate_review.png,,,
REVIEW_0012,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\9181975166_5a8900bcb4_b.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/9181975166_5a8900bcb4_b.jpg,TRAIN,NO,pHash=2; dHash=0; aHash=1; aspect_delta=0.4375; pixel_corr=0.9988; SSIM=0.9937; hist_corr=0.9906; ORB_good=13; ORB_inliers=6; ORB_inlier_ratio=0.4615,contact_sheets/duplicate_review/review_0012_duplicate_review.png,,,
REVIEW_0013,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\_DSC0413.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/_DSC0413.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.3959; pixel_corr=0.9992; SSIM=0.9965; hist_corr=0.9991; ORB_good=9; ORB_inliers=9; ORB_inlier_ratio=1.0000,contact_sheets/duplicate_review/review_0013_duplicate_review.png,,,
REVIEW_0014,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\_DSC0418.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/_DSC0418.jpg,TRAIN,NO,pHash=2; dHash=0; aHash=0; aspect_delta=0.3462; pixel_corr=0.9991; SSIM=0.9930; hist_corr=0.9989; ORB_good=19; ORB_inliers=15; ORB_inlier_ratio=0.7895,contact_sheets/duplicate_review/review_0014_duplicate_review.png,,,
REVIEW_0015,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered keelback_002.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/checkered keelback_002.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.3356; pixel_corr=0.9996; SSIM=0.9964; hist_corr=0.9997; ORB_good=12; ORB_inliers=7; ORB_inlier_ratio=0.5833,contact_sheets/duplicate_review/review_0015_duplicate_review.png,,,
REVIEW_0016,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelback_001.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Checkered-Keelback_001.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.6700; pixel_corr=0.9998; SSIM=0.9949; hist_corr=0.9992; ORB_good=6; ORB_inliers=4; ORB_inlier_ratio=0.6667,contact_sheets/duplicate_review/review_0016_duplicate_review.png,,,
REVIEW_0017,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered-keelback_002.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/checkered-keelback_002.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4057; pixel_corr=0.9991; SSIM=0.9971; hist_corr=0.9998; ORB_good=10; ORB_inliers=4; ORB_inlier_ratio=0.4000,contact_sheets/duplicate_review/review_0017_duplicate_review.png,,,
REVIEW_0018,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelback_003.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Checkered-Keelback_003.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.3350; pixel_corr=0.9997; SSIM=0.9983; hist_corr=0.9996; ORB_good=6; ORB_inliers=4; ORB_inlier_ratio=0.6667,contact_sheets/duplicate_review/review_0018_duplicate_review.png,,,
REVIEW_0019,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-2.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Checkered-Keelbacks-2.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.5547; pixel_corr=0.9996; SSIM=0.9967; hist_corr=0.9982; ORB_good=3; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0019_duplicate_review.png,,,
REVIEW_0020,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-4.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Checkered-Keelbacks-4.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.5283; pixel_corr=0.9996; SSIM=0.9967; hist_corr=0.9983; ORB_good=6; ORB_inliers=5; ORB_inlier_ratio=0.8333,contact_sheets/duplicate_review/review_0020_duplicate_review.png,,,
REVIEW_0021,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered-Keelbacks-6.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/Checkered-Keelbacks-6.jpg,TRAIN,NO,pHash=0; dHash=2; aHash=0; aspect_delta=0.5010; pixel_corr=0.9996; SSIM=0.9970; hist_corr=0.9947; ORB_good=7; ORB_inliers=5; ORB_inlier_ratio=0.7143,contact_sheets/duplicate_review/review_0021_duplicate_review.png,,,
REVIEW_0022,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\checkered_keelback_water_snake.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/checkered_keelback_water_snake.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4810; pixel_corr=0.9998; SSIM=0.9982; hist_corr=0.9996; ORB_good=16; ORB_inliers=12; ORB_inlier_ratio=0.7500,contact_sheets/duplicate_review/review_0022_duplicate_review.png,,,
REVIEW_0023,"C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG",Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,"train/Non_Venomous_Snake/Checkered_Keelback_Xenochrophis_piscator_Schneider,_1799_Assam_by_Dr_Raju_Kasambe_DSC_0477_(2).JPG",TRAIN,NO,pHash=0; dHash=0; aHash=1; aspect_delta=0.3955; pixel_corr=0.9965; SSIM=0.9936; hist_corr=0.9998; ORB_good=16; ORB_inliers=10; ORB_inlier_ratio=0.6250,contact_sheets/duplicate_review/review_0023_duplicate_review.png,,,
REVIEW_0024,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\DSC4977.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/DSC4977.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.4316; pixel_corr=0.9989; SSIM=0.9974; hist_corr=0.9984; ORB_good=5; ORB_inliers=5; ORB_inlier_ratio=1.0000,contact_sheets/duplicate_review/review_0024_duplicate_review.png,,,
REVIEW_0025,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\DSC_3798-1.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/DSC_3798-1.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.3362; pixel_corr=0.9994; SSIM=0.9969; hist_corr=0.9998; ORB_good=17; ORB_inliers=12; ORB_inlier_ratio=0.7059,contact_sheets/duplicate_review/review_0025_duplicate_review.png,,,
REVIEW_0026,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\IMG_4798.JPG,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/IMG_4798.JPG,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.6800; pixel_corr=0.9998; SSIM=0.9975; hist_corr=0.9996; ORB_good=1; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0026_duplicate_review.png,,,
REVIEW_0027,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\img_5554.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/img_5554.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=1; aspect_delta=0.3169; pixel_corr=0.9998; SSIM=0.9960; hist_corr=0.9988; ORB_good=4; ORB_inliers=4; ORB_inlier_ratio=1.0000,contact_sheets/duplicate_review/review_0027_duplicate_review.png,,,
REVIEW_0028,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\img_6516.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/img_6516.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.2500; pixel_corr=0.9998; SSIM=0.9962; hist_corr=0.9993; ORB_good=0; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0028_duplicate_review.png,,,
REVIEW_0029,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\keelback1.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/keelback1.jpg,TRAIN,NO,pHash=0; dHash=1; aHash=0; aspect_delta=0.3682; pixel_corr=0.9994; SSIM=0.9970; hist_corr=0.9998; ORB_good=40; ORB_inliers=23; ORB_inlier_ratio=0.5750,contact_sheets/duplicate_review/review_0029_duplicate_review.png,,,
REVIEW_0030,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_003.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/maxresdefault_003.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4375; pixel_corr=0.9998; SSIM=0.9991; hist_corr=0.9985; ORB_good=2; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0030_duplicate_review.png,,,
REVIEW_0031,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_004.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,validation/Non_Venomous_Snake/maxresdefault_004.jpg,VALIDATION,NO,pHash=2; dHash=0; aHash=0; aspect_delta=0.4375; pixel_corr=0.9994; SSIM=0.9962; hist_corr=0.9999; ORB_good=4; ORB_inliers=4; ORB_inlier_ratio=1.0000,contact_sheets/duplicate_review/review_0031_duplicate_review.png,,,
REVIEW_0032,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_006.jpg,Checkered Keelback,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/maxresdefault_006.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.4375; pixel_corr=0.9995; SSIM=0.9968; hist_corr=0.9998; ORB_good=15; ORB_inliers=9; ORB_inlier_ratio=0.6000,contact_sheets/frozen_test_review/review_0032_frozen_test_review.png,,,
REVIEW_0033,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_009.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/maxresdefault_009.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4375; pixel_corr=0.9996; SSIM=0.9966; hist_corr=0.9998; ORB_good=12; ORB_inliers=11; ORB_inlier_ratio=0.9167,contact_sheets/duplicate_review/review_0033_duplicate_review.png,,,
REVIEW_0034,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\maxresdefault_011.jpg,Checkered Keelback,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/maxresdefault_011.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4375; pixel_corr=0.9996; SSIM=0.9970; hist_corr=0.9994; ORB_good=16; ORB_inliers=11; ORB_inlier_ratio=0.6875,contact_sheets/duplicate_review/review_0034_duplicate_review.png,,,
REVIEW_0035,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\stock-photo-green-snake-checkered-keelback-xenochrophis-piscator-621348263.jpg,Checkered Keelback,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/stock-photo-green-snake-checkered-keelback-xenochrophis-piscator-621348263.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.4000; pixel_corr=0.9998; SSIM=0.9950; hist_corr=0.9999; ORB_good=14; ORB_inliers=11; ORB_inlier_ratio=0.7857,contact_sheets/frozen_test_review/review_0035_frozen_test_review.png,,,
REVIEW_0036,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\yellow-spotted-keelback-11-26-10-in-payao-province-31.jpg,Checkered Keelback,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/yellow-spotted-keelback-11-26-10-in-payao-province-31.jpg,TEST,YES,pHash=0; dHash=1; aHash=0; aspect_delta=0.3356; pixel_corr=0.9989; SSIM=0.9966; hist_corr=0.9988; ORB_good=2; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/frozen_test_review/review_0036_frozen_test_review.png,,,
REVIEW_0037,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\yellow-spotted-keelback-11-26-10-in-payao-province1.jpg,Checkered Keelback,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/yellow-spotted-keelback-11-26-10-in-payao-province1.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.3322; pixel_corr=0.9988; SSIM=0.9964; hist_corr=0.9987; ORB_good=1; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/frozen_test_review/review_0037_frozen_test_review.png,,,
REVIEW_0038,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Checkered Keelback\yellow-spotted-keelback-3-17-11-in-ramkhamhaeng.jpg,Checkered Keelback,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/yellow-spotted-keelback-3-17-11-in-ramkhamhaeng.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.3314; pixel_corr=0.9998; SSIM=0.9967; hist_corr=0.9998; ORB_good=7; ORB_inliers=7; ORB_inlier_ratio=1.0000,contact_sheets/frozen_test_review/review_0038_frozen_test_review.png,,,
REVIEW_0039,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\1463253_178992368962946_371907696_n.jpg,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/1463253_178992368962946_371907696_n.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.3604; pixel_corr=0.9980; SSIM=0.9967; hist_corr=0.9988; ORB_good=11; ORB_inliers=10; ORB_inlier_ratio=0.9091,contact_sheets/duplicate_review/review_0039_duplicate_review.png,,,
REVIEW_0040,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\16668569-Close-up-of-Indo-Chinese-Rat-snake-Thailand--Stock-Photo.jpg,Common Rat Snake,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/16668569-Close-up-of-Indo-Chinese-Rat-snake-Thailand--Stock-Photo.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.3377; pixel_corr=0.9997; SSIM=0.9974; hist_corr=0.9988; ORB_good=17; ORB_inliers=13; ORB_inlier_ratio=0.7647,contact_sheets/frozen_test_review/review_0040_frozen_test_review.png,,,
REVIEW_0041,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\200907260821-radnor-lake-gray-rat-snake-500.jpg,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/200907260821-radnor-lake-gray-rat-snake-500.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4565; pixel_corr=0.9994; SSIM=0.9972; hist_corr=0.9990; ORB_good=12; ORB_inliers=9; ORB_inlier_ratio=0.7500,contact_sheets/duplicate_review/review_0041_duplicate_review.png,,,
REVIEW_0042,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\220px-Rat_Snake.JPG,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,validation/Non_Venomous_Snake/220px-Rat_Snake.JPG,VALIDATION,NO,pHash=2; dHash=0; aHash=1; aspect_delta=0.3318; pixel_corr=0.9989; SSIM=0.9969; hist_corr=1.0000; ORB_good=14; ORB_inliers=11; ORB_inlier_ratio=0.7857,contact_sheets/duplicate_review/review_0042_duplicate_review.png,,,
REVIEW_0043,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\2973845429_d9d5ce06a3_b.jpg,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/2973845429_d9d5ce06a3_b.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4268; pixel_corr=0.9998; SSIM=0.9988; hist_corr=0.9977; ORB_good=16; ORB_inliers=15; ORB_inlier_ratio=0.9375,contact_sheets/duplicate_review/review_0043_duplicate_review.png,,,
REVIEW_0044,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\33326151560_f9888f9e35_b.jpg,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/33326151560_f9888f9e35_b.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=0; aspect_delta=0.4766; pixel_corr=0.9994; SSIM=0.9984; hist_corr=0.9968; ORB_good=2; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0044_duplicate_review.png,,,
REVIEW_0045,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\464685_469785913108783_1755378000_o.jpg,Common Rat Snake,Non-Venomous,FROZEN_TEST_REVIEW,test/Non_Venomous_Snake/464685_469785913108783_1755378000_o.jpg,TEST,YES,pHash=0; dHash=0; aHash=0; aspect_delta=0.4840; pixel_corr=0.9997; SSIM=0.9988; hist_corr=0.9993; ORB_good=9; ORB_inliers=5; ORB_inlier_ratio=0.5556,contact_sheets/frozen_test_review/review_0045_frozen_test_review.png,,,
REVIEW_0046,C:\Users\yesam\Desktop\anviksa_ai\new_training_data\snake_images\Indian-Snakes-Dataset-master\Non-Venomous\Common Rat Snake\blackratsnake2.jpg,Common Rat Snake,Non-Venomous,DUPLICATE_REVIEW,train/Non_Venomous_Snake/blackratsnake2.jpg,TRAIN,NO,pHash=0; dHash=0; aHash=1; aspect_delta=0.7596; pixel_corr=0.9987; SSIM=0.9964; hist_corr=0.9991; ORB_good=3; ORB_inliers=0; ORB_inlier_ratio=0.0000,contact_sheets/duplicate_review/review_0046_duplicate_review.png,,,
