relative_path,filename,extension,parent_label,species_label,intended_model_class,width,height,channels_or_mode,file_size_bytes,sha256,perceptual_hash,dhash,readable,exact_duplicate_group,near_duplicate_group,source_group_id,existing_dataset_match,existing_split_match,label_conflict,provenance_status,audit_status,review_reason,image_format,aspect_ratio,integrity_error,truncated_warning
Non-Venomous/Banded Racer/Banded Racer_1105.jpg,Banded Racer_1105.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1024,768,RGB,926678,6737928f556ca4cc6eade630c8813fe62fe5619159509d7030eeba3f7d146b0f,8dccc7731fb68412,66e3a435558b8c62,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.333333,,False
Non-Venomous/Banded Racer/Banded-Racer-1-700x489.jpg,Banded-Racer-1-700x489.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,700,489,RGB,56231,a0e5e05230f49e3acad1dd153a0f3dab630ed97c4667194c2bc16ef9b37ae35c,99a79c5c6b89668a,d9bc7fd393b2b23b,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.431493,,False
Non-Venomous/Banded Racer/Banded-Racer-3-700x417.jpg,Banded-Racer-3-700x417.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,700,417,RGB,78251,41865da51e65439511326296bc50b9ef2e84958657dcb2b1d630cab32ef5d9be,ff44b4d792384a70,a4262373594b0f9c,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.678657,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-DCDHTP.jpg,banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-DCDHTP.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1300,952,RGB,250259,710a70b9d6096b627088482ceb156541a25dda4b658d2f37f3d05b973baaf840,ef1c50b027c35b9c,04367243168ace4d,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.365546,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-h9et85.jpg,banded-racer-argyrogena-fasciolata-juvenile-non-venomous-locality-h9et85.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,640,445,RGB,76438,d6fb9f73f9a588c5ff98230f62191fd264e16922c9459f7d486bb4858a41271a,ad279d30e249d11f,3b7666c35e9f72d6,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.438202,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-ncbs-bangalore-india-f7n70b.jpg,banded-racer-argyrogena-fasciolata-ncbs-bangalore-india-f7n70b.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,640,447,RGB,135768,626304b01fcb5db685c88dda253b5538273ecf692369563a18b41fcecbd315e3,b61f921ddb5ce101,782ccd710a16b45c,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.431767,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-biting-ac6488.jpg,banded-racer-argyrogena-fasciolata-non-venomous-not-common-biting-ac6488.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,640,452,RGB,60611,3b8ca8dd2bdf6c422aab3004602a43754f84177190b5801b82a32a1252c28392,e6604e70a34ef14f,4504004206846064,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.415929,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4N.jpg,banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4N.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1300,952,RGB,253723,05aad33e8a5e7c948f78f166474518038113792ee4e0c6770f42dc50556cfaf1,ca3555986a9d6de0,b858662bade3f843,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.365546,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4T.jpg,banded-racer-argyrogena-fasciolata-non-venomous-not-common-juvenile-A6TT4T.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1300,952,RGB,270619,3d20c5d0a3b4815061b3dc2073408aa7198ce03c7cecea57e668f7d50453c0fa,bc3603c97c864f96,a65b652615936345,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.365546,,False
Non-Venomous/Banded Racer/banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,banded-racer-argyrogena-fasciolata-non-venomous-not-common-kalbeliya-AT2BHP.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,841,1390,RGB,140924,a873327a8c4f98ba88ed5cb43906cc9adfe09eb8dac53c33cbf099afd608d955,c242eece09a376b6,e549cdd9f0a54a90,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,0.605036,,False
Non-Venomous/Banded Racer/banded-racerargyrogena-fasciolata-ncbs-bangalore-india-f7n6yr.jpg,banded-racerargyrogena-fasciolata-ncbs-bangalore-india-f7n6yr.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,640,447,RGB,135495,c0445e304cf655a4203063aedd8a2211731fdb1532b19a46f1cddbf40618e9bd,af169529ea1bc26c,d966e85927d71b06,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.431767,,False
Non-Venomous/Banded Racer/banded_racer2.JPG,banded_racer2.JPG,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,320,306,RGB,52694,6cb4014e0fe699d6e2c2abf1317dd76863c28a1d892937965d4771749df28954,cbc463b38c2c7fc0,45e06222b259d16b,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.045752,,False
Non-Venomous/Banded Racer/Banded_Racer_Argyrogena_fasciolata_by_Ashahar_alias_Krishna_Khan.jpg,Banded_Racer_Argyrogena_fasciolata_by_Ashahar_alias_Krishna_Khan.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1200,800,RGB,457017,8107d36aeb85d8b08789cb91de3ed35840bf0c7c82aff1aab64f9aa636f861b6,f994cc423526dbc9,261a3a1e93292133,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.5,,False
Non-Venomous/Banded Racer/flagellum_19mar11_1b.jpg,flagellum_19mar11_1b.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,750,500,RGB,136892,7bbda2150724538582632233d0d9b6cb8ef20bb6bb14b5399db67bd1139f0053,b82597a78c1a9ad5,5cc61333262f0b9c,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.5,,False
Non-Venomous/Banded Racer/img6.jpg,img6.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,600,393,RGB,47904,0cb487eeec213760d6351194e0a6c0981513e61dde6e488d7f8f241d677bd7ff,ec3f42bc7f819049,0c07e2441396c3c3,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.526718,,False
Non-Venomous/Banded Racer/medium.JPG,medium.JPG,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,500,283,RGB,134358,3d81cf1ba1a840f373a0526720b33a5815b366bda1328ee275149643eb62a24a,a1d99de277b04945,e2ab938c47abcc72,True,,,,True,TEST,False,NOT VERIFIED,LEAKAGE_RISK,near-duplicate candidate matching existing TEST image (HIGH_CONFIDENCE_NEAR_DUPLICATE),JPEG,1.766784,,False
Non-Venomous/Banded Racer/snake.JPG,snake.JPG,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,1600,987,RGB,244785,ca5836096e419b5ccebfa0aa51da86ede858e5ac42f6a22e9914b1e94546fae2,f7ca9435e50f6c01,000801030a345080,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.621074,,False
Non-Venomous/Banded Racer/wildclicks.jpg,wildclicks.jpg,.jpg,Non-Venomous,Banded Racer,Non_Venomous_Snake,620,407,RGB,39541,0d37a30940448166f5defd42cd5b9d4a9e895c04c05b7fd646c613c989f3a56c,ca953d6a1594da8d,f062e0d8e10105b2,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.523342,,False
Non-Venomous/Checkered Keelback/03.jpg,03.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,640,432,RGB,114596,8f69826f9b701e7647172d55b60050326a3b01d62f5a9f6406b3cd9f049ad0fa,d513637c8578b06b,98c09cb4b2b623c6,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.481481,,False
Non-Venomous/Checkered Keelback/1170695.jpg,1170695.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,250,165,RGB,26343,daa8d8a6b0341991b4bffb73b20864354a57597aaae41d005a049c31fbb06b74,e47233d20fc956c3,8c0e27f3e7a49366,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.515152,,False
Non-Venomous/Checkered Keelback/1274637963_d73bd842e0.jpg,1274637963_d73bd842e0.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,500,340,RGB,59070,2bbe40fc0033b009bc982fe819f5c236e7d0fd2e72844087aa7198f6b60c7f53,c07b268c1be76c99,888080b8b0a4c8b6,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.470588,,False
Non-Venomous/Checkered Keelback/12783453_954980014598589_967027178_n.jpg,12783453_954980014598589_967027178_n.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1080,1080,RGB,223575,9c61c19d6bddab14fedfe11adae30b6892b29de3bfe4ddd42b8a6f9e4d0fed0f,9d9da92b43a04d8f,73f0b06c68478f0b,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.0,,False
Non-Venomous/Checkered Keelback/14587184738_dc5b7b3054_b.jpg,14587184738_dc5b7b3054_b.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1024,683,RGB,156144,7c845fe9f2de9977afd3b5e0473106629130e2d1c7a6e6df6ae45fa7bd47017c,d43ca53483cac5bb,a62cb16918a429c6,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.499268,,False
Non-Venomous/Checkered Keelback/1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,1474640693Checkered Keelback ( Samanya dhoria sanp).JPG,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,600,397,RGB,75321,eb781c82081c282b59871b13ae8453ed6c8099954670bc86e9350c2ae65d6a36,ac56d7719a2c8d2a,e48ea7a7bb9216a5,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.511335,,False
Non-Venomous/Checkered Keelback/1474640697main-2.JPG,1474640697main-2.JPG,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,600,400,RGB,29490,b82b0cc4a77de6b442c464477fac427a8593b7deb9f057b6c6b996c3d56316b2,ad12da4dc21c79e3,fe8f1f55c77677cf,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.5,,False
Non-Venomous/Checkered Keelback/15563108480_e836a296f0_b.jpg,15563108480_e836a296f0_b.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1024,683,RGB,105238,ce576d49215170e3fae71b9ec44c542db742c50b799b6dfc2d3acccf0474476e,ffdf5619d0460131,0000090117570f1f,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.499268,,False
Non-Venomous/Checkered Keelback/174_gall.jpg,174_gall.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,420,300,RGB,275917,5c7cd312137836d03ae8132e44841e89206c0f5fc9a438f88e4a769145a17a2f,d37e6a62b1913c34,5d652c5abee3d09a,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.4,,False
Non-Venomous/Checkered Keelback/2.jpg,2.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,960,551,RGB,70910,7dfd05ef230ca8b3d0627f5c0e4cbcefde82cc392925a1d6b2b41db93d21f813,bc7ba3b5c0f088a3,1f2f27b0763e0fc7,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.742287,,False
Non-Venomous/Checkered Keelback/20256325489_07fa92c4e6_b.jpg,20256325489_07fa92c4e6_b.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1024,744,RGB,110191,7082c8c5289ad6d79713a57ecae5fdd9ba33e103b4bf93bdfeb1f31241d7f18b,bfc292e1e738ca24,4d4c793b4f373e7c,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.376344,,False
Non-Venomous/Checkered Keelback/20390939692_0c4df08d01_k.jpg,20390939692_0c4df08d01_k.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,2048,1365,RGB,1573360,d905fd226926f4b1c7ee4502b052f4c27a385d6674610231bef1041a302bdce9,e456868f9b1c1c76,e6c4a6924f43e7b7,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.500366,,False
Non-Venomous/Checkered Keelback/20656965795_eb050dd6c5.jpg,20656965795_eb050dd6c5.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,500,343,RGB,62065,28d39186264b9f53fd56dd575bc173a950ce64c9d6a281d731c9445c4e558b41,d07809cc2fe338e7,90b89cdcecc4ccdc,True,,,,True,VALIDATION,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing VALIDATION image,JPEG,1.457726,,False
Non-Venomous/Checkered Keelback/20833697950_fa473f7660_b.jpg,20833697950_fa473f7660_b.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1024,768,RGB,207952,d7e17ce887365bbf72ca24ee3f1fdf76f6a79986a41d126723420c8b0c84602e,aa302d9ef341dd70,3fbf978b0d73c313,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.333333,,False
Non-Venomous/Checkered Keelback/2171758814_f5686d0104.jpg,2171758814_f5686d0104.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,500,358,RGB,142213,d5240cf268246fc045f265e08d3801b4c59159d538319444377688e72491e5a9,97346bc3740d0bba,c64c38f4ccc94909,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.396648,,False
Non-Venomous/Checkered Keelback/220px-AB031_buff_striped_char2.JPG,220px-AB031_buff_striped_char2.JPG,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,220,188,RGB,12376,263bd5a92262be2b50498acccedea359add24d03a6ecc18da8e5446f2e899749,dd7fb604a55a8894,323a385056e0d874,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.170213,,False
Non-Venomous/Checkered Keelback/233_s.jpg,233_s.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1201,800,RGB,131344,090723c19f1eea3bcddbced85c18606995fd0429e654b2eeea1bd53a99f14ff9,ec933bd01c65a65a,8590ad56b08686a3,True,,,,False,,False,NOT VERIFIED,PROVENANCE_REVIEW,source provenance and training reuse rights not verified,JPEG,1.50125,,False
Non-Venomous/Checkered Keelback/24897900911_7d2ee1ecff_b.jpg,24897900911_7d2ee1ecff_b.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,1024,586,RGB,304928,e28510a4e4ca4cbf55fe8f2dbecdcd0b0e35145186d417b5f78c26aa05387db4,aa4151926f6d926f,a58f838365ada767,True,,,,True,VALIDATION,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing VALIDATION image,JPEG,1.74744,,False
Non-Venomous/Checkered Keelback/27059896011_9809401f01.jpg,27059896011_9809401f01.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,500,375,RGB,63025,545a3a397cf3af0156a01b7dd0b490a3391527502dfbd2ebfb971da42c1ff9b5,84ec2e6c66666e66,a6f0d0c8f6f6fefc,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.333333,,False
Non-Venomous/Checkered Keelback/27095118816_d9248d0b2a.jpg,27095118816_d9248d0b2a.jpg,.jpg,Non-Venomous,Checkered Keelback,Non_Venomous_Snake,500,375,RGB,92412,e6e24608531da955a1862e1ff91cded548d0edf5159574cb24a2bc07b1b2fee6,d41a4a6b6a6bdac8,49ec300c264cc004,True,,,,True,TRAIN,False,NOT VERIFIED,DUPLICATE_REVIEW,near-duplicate candidate matching existing TRAIN image,JPEG,1.333333,,False
