video_id,source_type,relative_path,filename,current_class,reason,verification_evidence,recommended_action,review_status
USER_030,user_collected,source_videos/user_collected/Unverified/Macrovipera-lebetina_STV1608-0010-7A-label-HR.mp4,Macrovipera-lebetina_STV1608-0010-7A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_031,user_collected,source_videos/user_collected/Unverified/TE1-003--2021-10-20--11-22-11.avi,TE1-003--2021-10-20--11-22-11.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_032,user_collected,source_videos/user_collected/Unverified/TE1-012--2021-09-27--11-41-04.avi,TE1-012--2021-09-27--11-41-04.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_033,user_collected,source_videos/user_collected/Unverified/TE1-012--2021-10-20--09-54-49.avi,TE1-012--2021-10-20--09-54-49.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_034,user_collected,source_videos/user_collected/Unverified/TE1-027--2021-03-16--12-38-46.avi,TE1-027--2021-03-16--12-38-46.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_035,user_collected,source_videos/user_collected/Unverified/TE1-042--2021-04-09--01-01-00.avi,TE1-042--2021-04-09--01-01-00.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_036,user_collected,source_videos/user_collected/Unverified/TE1-042--2021-09-02--20-07-17.avi,TE1-042--2021-09-02--20-07-17.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_037,user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-31-22.avi,TE1-047--2021-02-26--16-31-22.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_038,user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-32-00.avi,TE1-047--2021-02-26--16-32-00.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_039,user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-32-13.avi,TE1-047--2021-02-26--16-32-13.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_040,user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-32-25.avi,TE1-047--2021-02-26--16-32-25.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_041,user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-33-38.avi,TE1-047--2021-02-26--16-33-38.avi,Unverified,LABEL_NOT_VERIFIED|LICENSE_NOT_VERIFIED,No reliable species/source evidence recorded.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_042,user_collected,source_videos/user_collected/Unverified/Toxicodryas-pulverulenta_STV1810-0001-2A-label-HR.mp4,Toxicodryas-pulverulenta_STV1810-0001-2A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
USER_043,user_collected,source_videos/user_collected/Unverified/Vipera-ammodytes_STV1447-0133-3A-label-HR.mp4,Vipera-ammodytes_STV1447-0133-3A-label-HR.mp4,Venomous_Snake,LICENSE_NOT_VERIFIED,Exact scientific-video ID matched a Journal of Experimental Biology supplement; reuse rights for this local copy still require confirmation.,"Confirm provenance, species identity, venom status, and reuse rights; do not guess from appearance.",PENDING
PAIR,user_collected|user_collected,source_videos/user_collected/Unverified/Deinagkistrodon-acutus_STV1747-0001_2A-label-HR.mp4 | source_videos/user_collected/Unverified/Macrovipera-lebetina_STV1608-0010-7A-label-HR.mp4,,,MANUAL_REVIEW_REQUIRED,pair=user_collected vs user_collected; aligned=0.824707; consecutive_run=0.375000; coverage=0.375000; duration_ratio=0.833333; filename_similarity=0.540000; metadata_candidate=False,Review suspected related footage and retain the shared source_group_id.,PENDING
PAIR,user_collected|user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-31-22.avi | source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-33-38.avi,,,MANUAL_REVIEW_REQUIRED,pair=user_collected vs user_collected; aligned=0.843099; consecutive_run=0.333333; coverage=0.500000; duration_ratio=0.527083; filename_similarity=0.909091; metadata_candidate=False,Review suspected related footage and retain the shared source_group_id.,PENDING
PAIR,user_collected|user_collected,source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-32-00.avi | source_videos/user_collected/Unverified/TE1-047--2021-02-26--16-32-13.avi,,,POSSIBLE_PARTIAL_DUPLICATE,pair=user_collected vs user_collected; aligned=0.802083; consecutive_run=0.466667; coverage=0.466667; duration_ratio=0.988372; filename_similarity=0.939394; metadata_candidate=True,Review suspected related footage and retain the shared source_group_id.,PENDING
